kde_low_prob_ratio,kde_prob_mean,kde_prob_day_mean,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,hour,is_outside
0,0,10649,39230,29076,22213,39540,0,0
0,0,0,57544,10745,58275,53710,0,0
0,0,7473,24752,49165,43381,37708,0,0
0,0,52767,17171,50272,64677,0,53620,0
0,0,0,42918,7172,14547,18367,41705,0
0,0,0,25691,18261,25265,0,29789,0
0,0,0,12956,27187,24555,14955,17873,0
0,0,0,6883,20512,53852,16730,5957,0
0,0,0,39471,22158,343,28455,0,0
0,0,0,39429,20519,5881,9815,0,0
0,0,0,55609,32587,3048,64276,0,0
0,0,0,28082,20925,52892,57330,0,0
0,20266,47686,27237,22718,28027,11000,0,0
0,0,38268,57038,7123,54256,0,0,0
0,0,0,60632,43475,21203,57711,0,0
0,0,0,31525,56362,32915,0,53620,0
0,0,0,19859,16777,32539,0,41705,0
0,0,0,2705,44610,56092,35128,29789,0
0,0,0,48541,59474,15979,64012,17873,0
0,0,0,42000,15354,34249,0,5957,0
0,0,0,1755,13485,35089,27147,0,0
0,0,0,36238,41350,20691,0,0,0
0,0,0,6289,40897,1849,0,0,0
0,0,949,7822,29164,46734,50523,0,0
0,61651,49255,51870,17372,57951,64095,0,1
0,0,38253,46086,21872,47013,0,53620,0
0,0,0,63485,57627,64898,18406,41705,0
0,0,0,9256,20968,33562,1395,29789,0
0,0,0,15567,42677,59836,22148,17873,0
0,0,0,31241,54673,10646,60485,5957,0
0,0,0,45653,42592,28030,0,0,0
0,0,0,19713,26944,3135,32066,0,0
0,0,0,55635,4390,20278,35741,0,0
0,0,0,7658,45517,53888,0,0,0
0,0,0,13663,9149,47110,0,0,0
0,0,0,24035,30679,813,33438,0,0
0,0,0,12798,25348,4055,0,0,0
0,0,0,33441,53705,29689,0,53620,0
0,0,0,61640,24909,45860,23798,41705,0
0,0,0,25719,15311,55115,25932,29789,0
0,0,0,20089,27996,22287,21961,17873,0
0,0,0,14245,53903,21433,8114,5957,0
0,0,0,47394,26774,2371,47717,0,0
0,0,0,2852,1787,57716,16768,0,0
0,0,0,33969,10429,56418,53749,0,0
0,0,0,18804,62115,16094,64090,0,0
0,0,63625,36214,3592,44445,17873,0,0
0,0,0,9654,10577,56109,0,0,0
0,0,311,17358,21372,9592,63770,0,0
0,0,0,47138,25561,21623,5260,53620,0
0,0,0,26743,15951,13985,35742,41705,0
0,0,0,64711,17421,34021,64388,29789,0
0,0,0,48828,48657,27272,43756,17873,0
0,0,0,13520,20194,42973,0,5957,0
0,0,0,18215,56410,18352,0,0,0
0,0,0,55781,19679,47848,28522,0,0
0,0,0,31972,13362,47617,0,0,0
0,0,0,10510,37607,18629,48582,0,0
0,0,46505,51658,29430,38704,58012,0,0
0,39838,51423,12129,7059,11205,0,0,0
0,57749,13111,53668,8523,27519,2282,0,0
0,28182,8059,17096,7392,9139,4850,53620,0
0,46512,51388,53555,23436,22016,64436,41705,0
0,17210,63641,47674,7807,41908,51267,29789,0
0,0,0,17827,62012,16754,7939,17873,0
0,0,0,64992,76,25613,0,5957,0
0,0,0,46890,17487,40555,0,0,0
0,0,0,48180,11408,23027,34752,0,0
0,0,0,58294,32413,16307,14320,0,0
0,0,0,14265,34544,1949,35937,0,0
0,0,0,6434,42889,10070,0,0,0
0,0,18547,6776,30008,21877,23407,0,0
0,49189,45384,11375,14377,35098,57571,0,0
0,26496,50804,37179,10829,10417,0,53620,0
0,0,0,45310,418,33606,30793,41705,0
0,0,0,54364,45603,2690,61082,29789,0
0,0,0,64327,46842,63622,14123,17873,0
0,0,0,42312,31021,11081,39097,5957,0
0,0,0,43498,23280,19680,0,0,0
0,0,0,51194,53153,28636,41378,0,0
0,0,0,20186,17056,12217,0,0,0
0,0,0,36414,18814,21941,675,0,0
0,0,0,52473,50365,3428,0,0,0
