kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
18486,23829,13855,5605,10131,7474,31086,31086,0,0
17311,22048,12514,1470,2633,8968,47064,47064,0,0
20381,25752,14640,2384,4230,1891,62229,62229,0,0
22634,28856,15963,1498,2680,1852,1367,1367,0,0
30674,32168,16751,1494,2680,0,15431,15431,0,0
43332,40100,18693,3365,6024,3998,722,722,65535,0
35297,37955,17390,2485,4416,1909,29234,29234,65535,0
27397,36975,18861,1823,3274,1369,33498,33498,65535,0
18718,26645,20932,4886,8701,6454,14950,14950,65535,0
21418,27178,19957,1065,1913,8143,44138,44138,65535,0
23158,27496,20525,970,1725,223,46141,46141,65535,0
29179,28344,19129,1839,3290,1870,35682,35682,65535,0
28574,28386,18906,266,480,3379,21591,21591,0,0
26253,28603,18424,767,1371,1064,7904,7904,0,0
26199,28447,18666,277,493,1044,41973,41973,0,0
26772,28066,19384,798,1427,1115,10201,10201,0,0
27220,28114,19374,109,195,1472,0,0,0,0
32926,29163,21493,3597,6398,7368,15227,15227,65535,0
29784,24813,19972,3107,5578,983,28756,28756,65535,0
25085,26534,17668,2889,5166,493,12278,12278,65535,0
26470,36651,10618,7961,14231,10821,15623,15623,65535,0
16779,22932,9190,7428,13301,1112,14450,14450,65535,0
23976,23875,11517,2543,4528,10431,29107,29107,65535,0
29794,25410,12047,1187,2125,2871,23645,23645,65535,0
29473,27648,14466,2812,5034,3478,29450,29450,0,0
30032,27436,14280,290,520,5406,55685,55685,0,0
37103,32746,15828,1928,3434,3468,37617,37617,0,0
37099,32750,15833,8,14,4098,0,0,0,0
39975,35468,16630,914,1630,1924,26862,26862,0,0
38884,39144,17701,1900,3394,2105,13512,13512,65535,0
27429,36995,18864,2052,3670,330,1593,1593,65535,0
24845,27995,19207,4767,8548,5841,15396,15396,65535,0
25991,28605,18432,915,1623,8201,28836,28836,65535,0
26022,28630,18393,50,88,1831,0,0,65535,0
26139,28731,17490,1400,2513,2908,5584,5584,65535,0
30903,38017,13589,4541,8152,6760,23563,23563,65535,0
35036,28157,12124,4110,7293,1018,13222,13222,0,0
31845,29141,10703,1807,3254,4856,37835,37835,0,0
32139,29916,10734,267,476,3307,23166,23166,0,0
33792,27316,13237,3490,6214,6821,45720,45720,0,0
33810,33988,15605,3274,5873,408,27641,27641,0,0
41019,37012,16990,2742,4845,1214,34583,34583,65535,0
13865,27009,17290,5948,10688,7011,15631,15631,65535,0
9546,23200,18033,1730,3118,9112,4873,4873,65535,0
5880,14275,15168,3960,7048,4670,31238,31238,65535,1
7185,15868,12922,2475,2203,2879,12711,12711,65535,0
7529,16285,12807,195,352,2231,0,0,65535,0
15840,21642,10435,4659,8326,9516,816,816,0,0
16756,21884,10676,284,510,9373,33423,33423,0,0
35790,31513,11751,4977,8884,9983,24003,24003,0,0
