kde_very_low_prob_count,kde_low_prob_ratio,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,turning_angle_median,hour,is_outside
0,0,1046195753,98141710,175624891,89596381,89596381,2733161006,0
0,0,1097804875,97904690,175640271,1011277936,1011277936,3123612578,0
0,0,1225057308,220542896,394826861,47293040,47293040,3514064150,0
0,0,1139679847,162835980,289383919,1915910745,1915910745,3904515723,0
0,0,1236065264,119499999,214561516,2195380527,2195380527,4294967295,0
0,0,1371796006,320202445,570228615,979781248,979781248,0,0
0,0,1307930613,69783673,125366106,2892671078,2892671078,390451572,0
0,0,1345163401,63587610,113035917,3023966495,3023966495,780903145,0
0,0,1253674461,120505335,215614691,2338515326,2338515326,1171354717,0
0,0,1239057448,17457690,31432867,1414994734,1414994734,1561806289,0
0,0,1207462023,50252494,89852042,517991054,517991054,1952257861,0
0,0,1223328154,18139453,32298955,2750812612,2750812612,2342709434,0
0,0,1270395836,52287294,93490288,668551659,668551659,2733161006,0
0,0,1269740320,7152691,12808667,2030970657,2030970657,3123612578,0
0,0,1408616236,235713032,419302589,997946275,997946275,3514064150,0
0,0,1308901431,203644027,365590606,1884574418,1884574418,3904515723,0
0,0,1157908159,189367159,338543652,804638054,804638054,4294967295,0
0,0,695843875,521762158,932657687,1023900573,1023900573,0,0
0,0,602256997,486794321,871725885,946983582,946983582,390451572,0
0,0,754820192,166671107,296732100,1907563097,1907563097,780903145,0
0,0,789505488,77819457,139277520,1549593267,1549593267,1171354717,0
0,0,948036562,184297193,329938000,1930036694,1930036694,1561806289,0
0,0,935866728,18988866,34051644,3649414720,3649414720,1952257861,0
0,0,1037349908,126340569,225085483,2465296084,2465296084,2342709434,0
0,0,1037622247,523112,938720,1977833322,1977833322,2733161006,0
0,0,1089894535,59888705,106799828,1760481440,1760481440,3123612578,0
0,0,1160102583,124503795,222428848,885564850,885564850,3514064150,0
0,0,1236264494,134475017,240543131,104379137,104379137,3904515723,0
0,0,1258753040,312409261,560225604,1009000037,1009000037,4294967295,0
0,0,1208003965,59987890,106387139,1889853706,1889853706,0,0
0,0,1205393664,3244611,5795767,132044426,132044426,390451572,0
0,0,1146244908,91729479,164722694,365965041,365965041,780903145,0
0,0,890559614,297599332,534263252,1544251523,1544251523,1171354717,0
0,0,794569888,269345261,477941007,866536855,866536855,1561806289,0
0,0,701457035,118429295,213263783,2479566929,2479566929,1952257861,0
0,0,703490744,17490473,31173573,1518227163,1518227163,2342709434,0
0,0,867529958,228728261,407215254,2996372646,2996372646,2733161006,0
0,0,1022698777,214584105,384908609,1811501318,1811501318,3123612578,0
0,0,1113497701,179672913,317508370,2266475392,2266475392,3514064150,0
